x,y,z,cond_ok
171.0,1.0,0.0,0.4464998519902246
172.0,1.0,0.0,0.44975450119198723
173.0,1.0,0.0,0.45307546967497137
174.0,1.0,0.0,0.4564535688009556
175.0,1.0,0.0,0.4598797781926338
176.0,1.0,0.0,0.4633452611093508
177.0,1.0,0.0,0.4668413757541016
178.0,1.0,0.0,0.470359683024083
179.0,1.0,0.0,0.4738919511935491
180.0,1.0,0.0,0.47743015798561134
181.0,1.0,0.0,0.4809664904521773
182.0,1.0,0.0,0.4844933430410136
183.0,1.0,0.0,0.48800331418798004
184.0,1.0,0.0,0.4914892017323189
185.0,1.0,0.0,0.4324954211193242
186.0,1.0,0.0,0.4355820509552009
187.0,1.0,0.0,0.43862843492740733
188.0,1.0,0.0,0.4416287323765805
189.0,1.0,0.0,0.44457725324986835
190.0,1.0,0.0,0.4474684514687796
191.0,1.0,0.0,0.4502969182932568
192.0,1.0,0.0,0.45305737574826876
193.0,1.0,0.0,0.4557446701655029
194.0,1.0,0.0,0.45835376588108856
195.0,1.0,0.0,0.4608797391204361
196.0,1.0,0.0,0.46331777209300296
197.0,1.0,0.0,0.4656631473129634
198.0,1.0,0.0,0.4679112421560537
199.0,1.0,0.0,0.4700575236582764
0.0,2.0,0.0,-0.021616739414169583
1.0,2.0,0.0,-0.019492857406063088
2.0,2.0,0.0,-0.017591284885582488
3.0,2.0,0.0,0.039808305884412996
4.0,2.0,0.0,0.041044753768201304
5.0,2.0,0.0,0.04205310289147199
6.0,2.0,0.0,0.04282927743418047
7.0,2.0,0.0,0.043369910636841646
8.0,2.0,0.0,0.0436723957095394
9.0,2.0,0.0,0.043734932338918425
10.0,2.0,0.0,0.04355640043651979
11.0,2.0,0.0,0.04297774912834994
12.0,2.0,0.0,0.0418655722573765
13.0,2.0,0.0,0.040229439965067115
14.0,2.0,0.0,0.03807994884601387
15.0,2.0,0.0,0.03542872699116259
16.0,2.0,0.0,0.032288429652539474
17.0,2.0,0.0,0.028672725503825186
18.0,2.0,0.0,0.02459627369609796
19.0,2.0,0.0,0.020074692127974136
20.0,2.0,0.0,0.015124517555083455
21.0,2.0,0.0,0.009763158346984241
22.0,2.0,0.0,0.004008840853302581
23.0,2.0,0.0,-0.002119449540245094
24.0,2.0,0.0,-0.008602031504521906
25.0,2.0,0.0,-0.01541859380560115
26.0,2.0,0.0,-0.02254826308415739
27.0,2.0,0.0,-0.029969672204480213
28.0,2.0,0.0,-0.037661028068837726
29.0,2.0,0.0,-0.04560017788780804
30.0,2.0,0.0,-0.0537646730147118
31.0,2.0,0.0,-0.0621318295866817
32.0,2.0,0.0,-0.12399581008693351
33.0,2.0,0.0,-0.13318628538568703
34.0,2.0,0.0,-0.14253294488028176
35.0,2.0,0.0,-0.1272953557867286
36.0,2.0,0.0,-0.1375910514426516
37.0,2.0,0.0,-0.1479807219472583
38.0,2.0,0.0,-0.15843829640994855
39.0,2.0,0.0,-0.16893769444895707
40.0,2.0,0.0,-0.17945284992314692
41.0,2.0,0.0,-0.189957732301783
42.0,2.0,0.0,-0.20042636630843683
